"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",0.286904138286784,0.00325528692245241,0.110144797412232,0.0715783527961539,0.212120724282716,0.28797009256992,0.363580941709038,0.489563832232976,1144.8522182019,1.00066103905563
"B[2]",0.166402907914117,0.000500334782998318,0.0177351630766109,0.132560586173699,0.154265097662613,0.165918394938176,0.178213381744077,0.201461764168199,1256.46090712208,0.999702315539005
"B[3]",0.0092019525321305,2.79744454706117e-05,0.00108050713971077,0.00710563237852907,0.00845178359111148,0.00920230293176865,0.00993781218535033,0.0112880385524458,1491.8745628231,0.999375162654652
"B[4]",0.111333861189279,0.00167127805148016,0.0557806782351732,0.0023294968529945,0.073089693404669,0.111709063311889,0.147857599751799,0.2253734192096,1113.9614495137,0.999238749131221
"b0",-0.0294539408663085,0.0915285214763812,0.86086137982919,-1.72318728308935,-0.602596198966206,-0.0275653305061463,0.566444141890117,1.76937285809471,88.4613485607946,1.02610220160565
"a[1]",0.00116204326445842,0.0949497794056255,0.893064355970661,-1.83307710356352,-0.587763165900216,-0.0133246030557962,0.625588190956153,1.7099293025423,88.4662446523744,1.02802102289263
"a[2]",0.257922748112122,0.0943953699867902,0.88626900268713,-1.5199060119952,-0.30148392119869,0.247010628946612,0.868323895075105,1.9838368395653,88.1515055573851,1.02764239223247
"a[3]",-1.62431076168433,0.0930130586787512,0.870379358716661,-3.44032526398869,-2.18772958140199,-1.63151184089484,-1.02355250981112,0.0531983743974938,87.564750361653,1.02747316671202
"a[4]",-1.18837513417172,0.0939480427574808,0.879634486314799,-3.02634831743199,-1.74510415169421,-1.18243819935601,-0.573042243528568,0.54972638141038,87.6655620982285,1.02695706870254
"a[5]",-1.68410377791232,0.0927278306361814,0.874388197986445,-3.44451498417173,-2.26580798625849,-1.69927173336884,-1.06770901152368,0.0326621020566801,88.917731648777,1.02825735767513
"a[6]",-1.5360677643605,0.0918867671799102,0.868794737902881,-3.31300078922188,-2.10382690130575,-1.54759520449801,-0.930274385154826,0.142345854938878,89.3981268839311,1.02649838965361
"a[7]",-1.98321585457141,0.0908491430166329,0.869496485873145,-3.73178297616868,-2.53962016888341,-1.98919100856038,-1.35269506259024,-0.319501253166528,91.599687561707,1.0272717589917
"a[8]",-1.76347748232192,0.0924861178812702,0.868445313501755,-3.52424272750177,-2.31856864261829,-1.77657138657311,-1.14775881794907,-0.05767981485445,88.1722353574976,1.02719609199283
"a[9]",-1.7627358714669,0.0926828679223542,0.870677472751138,-3.53539942978078,-2.32793429156572,-1.77828370899772,-1.14180038973729,-0.0716433456788041,88.2501979600299,1.02732932711934
"a[10]",-1.52927140669917,0.092568729135987,0.870016626288825,-3.24432090718741,-2.09865931180824,-1.53169624735536,-0.932926492209732,0.175203476575256,88.3337162026359,1.02728045331984
"a[11]",-1.71712079614766,0.0919855729871919,0.872838123075244,-3.49890751833427,-2.28574284287533,-1.73330729734061,-1.10573308370549,-0.0507085611136138,90.0384432579709,1.02637358540178
"a[12]",-1.57712440692566,0.0924249674167651,0.871869607540581,-3.35912140658237,-2.14062075404335,-1.59509485136285,-0.958826410061466,0.127275165822035,88.9865696566238,1.02814098498358
"a[13]",-1.62303456754033,0.092318447808093,0.869787406842531,-3.3785150839095,-2.18575585166855,-1.63541070833674,-0.99854117566362,0.0645185863795455,88.7665300216718,1.02774250611997
"a[14]",-1.37517964640871,0.0915176381902742,0.871228849818688,-3.13177360737211,-1.94847556663348,-1.38367069777791,-0.754203380547918,0.304457231841387,90.6264334645093,1.02715866465996
"a[15]",-0.436675688637089,0.0927614162772096,0.8727583870724,-2.24193605471068,-0.991733342725527,-0.449345485915699,0.193355506358242,1.25471612868199,88.5224286369934,1.02687412970874
"a[16]",-1.72446736746275,0.0910221067747772,0.866146947075107,-3.49263978221041,-2.2861978211398,-1.73900912062534,-1.11303901870743,-0.0453536765795735,90.5501952699104,1.02770000520131
"a[17]",-0.431469634886129,0.093461882402577,0.881905176607249,-2.20635817242994,-1.00133289609561,-0.451349612949615,0.187293558659666,1.2699800358401,89.037864649463,1.02723385500783
"a[18]",1.95360274993611,0.093817261882472,0.881496302403557,0.175644432970851,1.39618377082427,1.95847081976116,2.58113735957472,3.66830336834716,88.2826747112232,1.0276877871731
"a[19]",-0.0715998074652998,0.0937189687615025,0.886265615138137,-1.90933286482431,-0.650282863501173,-0.0901815810969286,0.559362647040595,1.61771260020439,89.4278516791817,1.02756632006116
"a[20]",-0.808166267330083,0.0920205469957673,0.874114355199698,-2.55693252864759,-1.37709463965528,-0.823803910019424,-0.188780228680275,0.869266385481954,90.2333090220416,1.02698307645427
"a[21]",0.63033407133457,0.093413889523151,0.88110149284378,-1.12536190559151,0.0659303381998611,0.619411748797579,1.24528173361099,2.33932443481748,88.9670034984955,1.02655142206318
"a[22]",-0.537185548214613,0.0915888571711198,0.881774871255059,-2.31172670921929,-1.1138473744076,-0.533729268314752,0.0768820092724707,1.18485472017192,92.6894182412761,1.02588523481305
"a[23]",-0.202059151925141,0.0940866140742484,0.881031093729729,-1.98552849734814,-0.770478378121346,-0.211277910449962,0.408760759785925,1.50362809267607,87.6853000745285,1.02679349566628
"a[24]",-2.13562793332859,0.0925923570104377,0.882885596395628,-3.93896823401435,-2.70200288330679,-2.14992182254761,-1.50739878106147,-0.413332276854196,90.9198235700103,1.02672670024263
"a[25]",0.302573688342042,0.0903197904717295,0.878758689315299,-1.48261469456494,-0.271396401056321,0.29711887973567,0.931058436128138,1.9947595936489,94.6615087238426,1.02640583569083
"a[26]",-1.35737609964851,0.092761851717355,0.878257683149536,-3.14257058857939,-1.91742888234378,-1.34904381111333,-0.74407109339563,0.362079356863871,89.6406705539437,1.02717857890437
"a[27]",-0.172500452070837,0.0918601153044289,0.874247668584158,-1.97112392536056,-0.74513987985005,-0.17921804218382,0.451750016601517,1.52547792828531,90.5763870168125,1.02715142290771
"a[28]",-1.64359422419424,0.0939676079548598,0.884658081379614,-3.47513923165775,-2.22934168186975,-1.66897262797042,-1.04864229337835,0.111885476243082,88.6328175214187,1.02871300216503
"a[29]",-0.183697602628162,0.0921441839585361,0.871711733169406,-1.96047087430556,-0.765324456510323,-0.178842822700243,0.41110054262855,1.51054251039477,89.4972986085724,1.02641095514456
"a[30]",-1.82260086327989,0.0930195696920646,0.869635499359319,-3.5961540945269,-2.39148991561619,-1.82004212725673,-1.22421365040324,-0.0979422431919708,87.4029049551378,1.02703000582435
"a[31]",1.65576357965775,0.0943615918480337,0.882151877973247,-0.117855170149795,1.08873189609836,1.64140825852433,2.27467760154499,3.37827435734281,87.396936291789,1.0278917745194
"a[32]",0.701422979306191,0.0930015170732691,0.880596133775108,-1.05443483406668,0.138121490623551,0.679569421781329,1.31552419759966,2.40363216928926,89.6547869369309,1.02672902610654
"a[33]",-1.89803173043635,0.092388731906043,0.872368125628494,-3.65795524165339,-2.46238061083187,-1.91469728233279,-1.29932659680305,-0.194860694951774,89.1582561972799,1.02724426469748
"a[34]",-1.61951373968365,0.0921298290078177,0.872467904922506,-3.41611804723386,-2.202612668852,-1.60960780086996,-1.00875567153558,0.0847221929936216,89.6805760519856,1.02540256101338
"a[35]",-1.67822131073164,0.0923419817751114,0.868281201522057,-3.43871793586719,-2.2350358279487,-1.67394064757206,-1.08170112480515,0.0316239762495389,88.4142801742296,1.0273893593429
"a[36]",-1.58006276557105,0.0931449574667821,0.874929209428782,-3.30801445929808,-2.16997387731936,-1.57726781527172,-0.98265252103253,0.146275238032778,88.2322052218298,1.02778430775949
"a[37]",-2.04983271970119,0.0919652202601241,0.875406024425934,-3.79417548360242,-2.63421781340658,-2.06950064205663,-1.44300132753751,-0.34207954820285,90.6091030751661,1.02724398799114
"a[38]",-0.633439951211562,0.0927335552617899,0.867715208106244,-2.35840565015227,-1.20436619824156,-0.645874955736543,-0.0162615985026242,1.07267602057271,87.5549285364621,1.02744529720371
"a[39]",-1.04153193004751,0.0938276055757813,0.8765486548914,-2.83354424499031,-1.62867853169236,-1.04581097535849,-0.430346471129307,0.680921351404147,87.2751870352695,1.02752741085307
"a[40]",0.0600691592793486,0.0933262541430395,0.877451915802491,-1.72077719500775,-0.48986657267089,0.0520636001694615,0.672194675955227,1.77205722517111,88.3972966019929,1.02736133328312
"a[41]",1.78803692722093,0.0930637046119413,0.880668294526764,-0.0217804888280611,1.2230368433654,1.78145086879651,2.38033998273175,3.50962710892946,89.5496822989699,1.02740351314771
"a[42]",-1.44100798213033,0.0935349001975855,0.875592779463187,-3.24780786867392,-2.02207541467148,-1.44427528313391,-0.839197893879204,0.262813362825895,87.6308387807099,1.02783772238026
"a[43]",-2.18055738134322,0.0915074592666422,0.881143267893756,-3.95173849285217,-2.74147636673647,-2.16629192196453,-1.58869823771499,-0.449192270821933,92.7214171118663,1.02574382814232
"a[44]",-0.907127300553753,0.0933226735650871,0.877266589990784,-2.70217357323621,-1.48747189043429,-0.895886357147574,-0.299558500688762,0.826455592452685,88.3667403919777,1.02667624933132
"g0",-0.174149547780862,0.0927625709711226,0.89526434663428,-1.91716781808139,-0.756120364493622,-0.188197924840853,0.446681367681355,1.59914953316237,93.1444590679044,1.02724109351205
"G[1]",-1.37966042033411,0.010654104073564,0.345394655470988,-2.0634899327596,-1.60679353834685,-1.37963522280951,-1.15280862587792,-0.690505201114395,1050.98703024052,1.00110337347414
"G[2]",-1.10339323967095,0.0100036245461197,0.353584727940281,-1.80826590132171,-1.32843459271187,-1.09974970243446,-0.864227336558369,-0.424942724488494,1249.3157936568,0.999214724585685
"G[3]",-1.53214742214188,0.016144916945174,0.567339662912871,-2.63555681778842,-1.91574229963867,-1.53652060647624,-1.1533653596762,-0.404420779296049,1234.85129692705,0.999259767260826
"G[4]",-1.30328699618136,0.0264632193786025,0.872642224169694,-2.94544877897357,-1.90714928295175,-1.34365019691236,-0.68849031332881,0.466855069516153,1087.39440024755,0.999196855752859
"sigmay",0.278956890773468,0.000199276048937167,0.00687892045990524,0.266279955283633,0.274594704364118,0.278516019140344,0.283431890683624,0.293854626387991,1191.59965260471,1.00048669492158
"sigmaa",0.885014864942946,0.00357457001776671,0.108438615378356,0.707825396075177,0.811783624601472,0.874760631746904,0.946497130220846,1.12536429898136,920.280692150189,0.99913848203118
"lp__",710.104952823135,0.241972914022096,5.47779229298733,697.743675948926,706.886616083737,710.344398699063,713.965774022119,720.096964188215,512.480815081655,0.999611749953754
