"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",-0.0044552244775952,3.18120357849427e-05,0.0012244520328129,-0.00673796330017742,-0.0052993252486113,-0.00448127024166801,-0.00360193271887517,-0.0020253352121552,1481.49649554358,1.00187714343552
"B[2]",0.140358211427177,0.000625246779349896,0.0212670222598307,0.0980601942553384,0.126388316211766,0.140531996621094,0.15437832513661,0.181714215000778,1156.93895561812,1.00275735146733
"B[3]",0.00617152145413274,2.86957986399336e-05,0.00122259320451843,0.00383974576045588,0.00530952096811812,0.00614623683907113,0.00702744665591886,0.00858283896111039,1815.21186936913,1.00036593688265
"B[4]",0.0141322242607935,0.00147742595957494,0.0529442227344885,-0.0905797276150637,-0.021064290119106,0.0142342053989886,0.0511094552810322,0.119033817705042,1284.1794103127,0.999561698816029
"b0",0.131132866078262,0.124258030937995,0.899076383745563,-1.61431927763476,-0.490251201907215,0.165038789312696,0.752760702890566,1.81425787564726,52.3533221562506,1.06268695957887
"a[1]",0.838751080983012,0.129677511726606,0.939101001995062,-0.998597041374975,0.185781522534474,0.821052465392801,1.46510715695884,2.73969693470731,52.4439350238035,1.06593067162701
"a[2]",1.15640408610716,0.134568791636118,0.927676403248315,-0.672344942956423,0.518581955328103,1.15012575997144,1.78621837105003,3.00229372059492,47.5230509563775,1.06841787903861
"a[3]",-1.09053664802156,0.133144922445287,0.9202228605477,-2.83261162059545,-1.74307540405484,-1.13572572719571,-0.437687374811347,0.760710665905199,47.7679735721804,1.06747924308023
"a[4]",-0.643267594006767,0.134726976538053,0.91973191662332,-2.40759680917,-1.30122365002681,-0.65796004364447,-0.00376902069063036,1.19795936532383,46.6029477686919,1.06887283471047
"a[5]",-1.12504233858809,0.132149994196834,0.929407360337711,-2.92486956790803,-1.77420094343905,-1.1514346346414,-0.465176194090943,0.72558451377157,49.4627112624923,1.06743768300399
"a[6]",-0.955579022990738,0.131936753565226,0.922837485064983,-2.76671905226805,-1.60192700853666,-0.979709575356305,-0.294032210843511,0.919057503858585,48.9236518153759,1.06766963378634
"a[7]",-1.42864586957834,0.134546743724205,0.925387948476938,-3.2014022179417,-2.07426267186728,-1.44814605422244,-0.781413262041263,0.45132331455154,47.3043735553915,1.07008329327685
"a[8]",-1.16133702384036,0.131333536687528,0.917073488011181,-2.91950145569012,-1.80115726639218,-1.19848456841702,-0.515597099126146,0.684272057725293,48.7592478658231,1.06871034956899
"a[9]",-1.25081348189347,0.133279843017767,0.921726655100651,-3.00696659593535,-1.89496442611147,-1.28002016563841,-0.604077114208464,0.604208890600173,47.8272432206851,1.06856247848625
"a[10]",-1.0249580620515,0.133654354483305,0.914464952579328,-2.75058837037744,-1.68005018252942,-1.05693708459887,-0.391121820533236,0.812968641257171,46.813154352055,1.06753448419351
"a[11]",-1.13458776229937,0.136080842936283,0.92683034096178,-2.92625204280508,-1.78282740599286,-1.16161388734829,-0.477738259464231,0.695761917388703,46.3880913217577,1.0705027655184
"a[12]",-0.942702795177065,0.131746798260259,0.920295459526787,-2.70724264524615,-1.58052876957492,-0.978897505099141,-0.295582185767748,0.865154900457239,48.794898540808,1.0660999213836
"a[13]",-1.06740813783182,0.134475958689982,0.921006811378677,-2.82401858590349,-1.70787245639795,-1.08675156458978,-0.423185700031801,0.804594660254451,46.9068626164429,1.06940379973108
"a[14]",-0.769384046653086,0.131469282318404,0.923456045372057,-2.52629086520217,-1.41940449940476,-0.78786786342094,-0.115807903384351,1.08760024696816,49.3382649858101,1.06765217288497
"a[15]",0.270434204166249,0.131702252674733,0.923277514212559,-1.51762731695684,-0.367914454400721,0.231131115659763,0.926208366748403,2.1371027219034,49.1448609749332,1.06785021858626
"a[16]",-1.19069341774704,0.133577152129427,0.919059261675631,-2.95256108309281,-1.82336488851242,-1.21502728696172,-0.54692879619788,0.689094022681055,47.3393915626497,1.06938899544633
"a[17]",0.422119792241506,0.135656998127916,0.926166869367343,-1.36109099661626,-0.213579565611921,0.402692523353232,1.07292841355453,2.26009592954081,46.6116071735882,1.06856199412037
"a[18]",2.67510342045505,0.135109465153454,0.923074096602201,0.882117333570441,2.02481982369861,2.6593071174996,3.31378372444548,4.50385635750272,46.6768541276823,1.06919299695704
"a[19]",0.649026637101726,0.130750538597186,0.933464794463468,-1.19345169805426,-0.0201598749938133,0.631886709477402,1.28436943202251,2.52384094031213,50.9693286668052,1.06715190261076
"a[20]",-0.297245737244796,0.13286142570636,0.92876705943683,-2.07196406794624,-0.957309694096661,-0.334951937344323,0.351269955508591,1.57869414584938,48.867012699407,1.06798255437602
"a[21]",1.39176986728008,0.134271751863675,0.923560686618101,-0.426773587896701,0.73119195118369,1.375529660739,2.02967445777875,3.23288155605582,47.3109387396852,1.06785271915274
"a[22]",-0.0574792924404873,0.136627928260988,0.927504550060249,-1.81415534222332,-0.69834513710856,-0.0696734325095406,0.581046913310343,1.8172106268552,46.08431447881,1.06752214012898
"a[23]",0.619077830277303,0.135049058619151,0.928429625574234,-1.17984017496272,-0.0249533070099623,0.609644750142229,1.25498378343364,2.48496838742078,47.2623005558631,1.06806972786878
"a[24]",-1.24288350489018,0.135148036577181,0.92732469586844,-3.03570190633298,-1.88982843221381,-1.25012168981893,-0.615555115820197,0.626273038380472,47.0808364669997,1.06626576917757
"a[25]",0.812067144426029,0.13380197791372,0.924957627810474,-0.975393425741133,0.167022529976821,0.803648203209759,1.46407797766904,2.65791722257341,47.7879730011877,1.0688071383256
"a[26]",-0.692220879243617,0.133631952154824,0.921246639349679,-2.46195449528464,-1.33986800890189,-0.712362368269622,-0.0586554198373613,1.12698953315299,47.5259938571932,1.06776470799732
"a[27]",0.420620832069539,0.133169391869081,0.923943061231437,-1.3332573352488,-0.225467635625346,0.398143455914021,1.07557587303934,2.30198844916938,48.1372840749987,1.06821039254743
"a[28]",0.552090685119849,0.135491622832797,0.921386079986727,-1.19734541189253,-0.0913310659963746,0.528007089231808,1.19495324565016,2.37274321193361,46.2443207240801,1.06649149056707
"a[29]",-1.34457999066075,0.131508267265462,0.912615339330281,-3.08808002840853,-1.97817199905869,-1.38438181777463,-0.703183355219145,0.418204772496362,48.1581080864132,1.06899245328677
"a[30]",2.3710738799003,0.134967344500912,0.922256042637053,0.55835851661702,1.717471029878,2.35556758082327,3.01219099936533,4.20241180876431,46.6923371200663,1.06786233302357
"a[31]",1.49141294140064,0.13532308497339,0.923719312643936,-0.305423478953828,0.829075536961358,1.47759889062597,2.12456202673052,3.33224327829292,46.5946729425193,1.06874425914863
"a[32]",-1.43719119470524,0.131997713206546,0.917115750264341,-3.17009229649245,-2.07263089689156,-1.45786432343636,-0.776482465184217,0.379969350364825,48.2742448888008,1.06711424802902
"a[33]",-1.27932881666181,0.135163196877462,0.933507976444937,-3.07062417132191,-1.91477364762933,-1.31156287068666,-0.633627703751638,0.558739982339546,47.7000853406966,1.06822434226919
"a[34]",-1.13822808701261,0.13052545593447,0.916674278175127,-2.89718336303126,-1.76957040190932,-1.17765561862236,-0.505122706772827,0.680850095610563,49.321883458423,1.06817162970909
"a[35]",-1.04308121388681,0.134124160537656,0.949184608494852,-2.90117803497354,-1.69407144070318,-1.05067449860868,-0.413992526628195,0.814594729212594,50.0826546779006,1.06341637934719
"a[36]",-0.1929367533299,0.130690666556549,0.915469160672876,-1.93193477315412,-0.828423023460323,-0.226606696721927,0.460139283949834,1.65921520937008,49.0679926695911,1.06712402307683
