"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",0.332445606863994,0.00199800569227987,0.0668273644736321,0.204634518562176,0.287725225644007,0.330698320970128,0.377352487606396,0.46983641489518,1118.70408847794,0.999037503719685
"B[2]",0.147174123361773,0.000467990904538298,0.0171476085196506,0.113451425024205,0.135686417888381,0.147165889184527,0.158289418338793,0.180507386050946,1342.55564450067,0.999443916519901
"B[3]",0.010122731716705,2.584215969935e-05,0.00106341119757188,0.00800009542534575,0.00938936445799209,0.0101316648355309,0.0108448061386207,0.0122210095464068,1693.34264640862,0.99905377073109
"B[4]",0.112672498908505,0.00168921605745126,0.0567051460933551,0.00611176345935637,0.0739978599745905,0.111696165744398,0.149226402926917,0.226589621034705,1126.87188910268,0.999522316972801
"b0",-0.0645747635528741,0.0847398368311161,0.889249009621304,-1.74625339174648,-0.671671121705056,-0.047786671104323,0.578311528835067,1.62769487028984,110.121351686007,1.00695258549801
"a[1]",-0.370863073483007,0.0878213115357625,0.927147586863512,-2.15024211082275,-1.04727139744476,-0.386924222514347,0.291482122174933,1.35974254377995,111.454576837795,1.005708357937
"a[2]",-0.0318697195469106,0.0892437284729146,0.918382003649189,-1.74370603604441,-0.686157941857407,-0.0647227515633177,0.623947063095505,1.72599573089351,105.898867884263,1.0065117431615
"a[3]",-1.68045934255118,0.0866798547428102,0.895475280312645,-3.36876181558403,-2.33472459089491,-1.69322683255478,-1.04955076295402,0.0236757054203858,106.726152545868,1.00737263673224
"a[4]",-1.37977331562149,0.0888509192098151,0.907945996971279,-3.0989366705206,-2.02186731696622,-1.40287722914392,-0.749597656163185,0.354322438968135,104.423004824044,1.00662485634788
"a[5]",-1.74489140456054,0.0863447967803413,0.899208484523541,-3.41477687717517,-2.40263457443309,-1.75207113885338,-1.10619650783645,0.0155323010119098,108.454717815959,1.00657475180356
"a[6]",-1.56614283136973,0.0870132504398255,0.898819339134627,-3.22609771332082,-2.23378021457638,-1.57183731803872,-0.945979783850826,0.145249962241289,106.702361633979,1.00717033452083
"a[7]",-2.04849399304308,0.0869971768300486,0.90041676722058,-3.75866706563888,-2.7042633600818,-2.06217946674627,-1.42252050842101,-0.307643638592285,107.121545160939,1.0063759612057
"a[8]",-1.78027937868001,0.0868395113677316,0.898137716895033,-3.44992205969959,-2.46367500942405,-1.79442806678196,-1.14516436300185,-0.0691416471186699,106.967323060652,1.00662263079418
"a[9]",-1.80535311228455,0.0868344027682382,0.899124053005198,-3.48055935206957,-2.4793568917833,-1.8162863303003,-1.17416951530017,-0.113589127479591,107.215009528726,1.00706986280726
"a[10]",-1.56740973145305,0.0873031150440393,0.896396681662606,-3.24841767301828,-2.22053056752217,-1.58960447080383,-0.937355140723702,0.121053911603758,105.424366605001,1.00717751857515
"a[11]",-1.68557533670144,0.0876625634083835,0.90349487485702,-3.36928112630038,-2.34650646783567,-1.70558978498628,-1.04510095932575,0.0350566663539727,106.22409863916,1.00768835391941
"a[12]",-1.54310238573439,0.0876110777818877,0.901444448461067,-3.21416004117515,-2.22461639142386,-1.53620732088891,-0.901822614456803,0.19189907120757,105.866825576402,1.00634374608703
"a[13]",-1.6285604582203,0.0869504762272723,0.90010055690339,-3.30141541256298,-2.28109893957384,-1.64422110263119,-0.993219479102985,0.0657493511464133,107.161338828485,1.00666430855646
"a[14]",-1.44957328000171,0.0868841192774959,0.898393852031522,-3.13931865394925,-2.12430262477311,-1.47965799010024,-0.830289164861956,0.257146267392045,106.918470209625,1.00665666294559
"a[15]",-0.518553696636765,0.0873574462750217,0.904755779364078,-2.22609727467888,-1.18748591665112,-0.535610654950584,0.104013893953092,1.19839651138464,107.26619424624,1.00674635263643
"a[16]",-1.79607055610202,0.0865749699429903,0.898191901905979,-3.46275458190471,-2.46108811861855,-1.81637092419021,-1.17286418588972,-0.0685670081428936,107.63501394221,1.00652370179102
"a[17]",-0.609819114700268,0.0892457112217604,0.91152974564142,-2.31859413002731,-1.2585432746931,-0.643843016841194,0.0259782243214496,1.13768378292908,104.319856509154,1.00675885217645
"a[18]",1.92175779501154,0.0885876833431309,0.907797729979422,0.219176419667086,1.27872008911838,1.90360269627929,2.57828850346602,3.64093831232173,105.010202422732,1.00672327848403
"a[19]",-0.53663202443701,0.0876475066600961,0.919411885606575,-2.2992944770367,-1.20557305775627,-0.541016187365079,0.123236125539431,1.20762453239859,110.037596403611,1.00588293137314
"a[20]",-0.873606934456199,0.087672954453277,0.908277094119666,-2.59758888855333,-1.54138577571639,-0.885245814165644,-0.244397657454274,0.867582298407117,107.326122622628,1.00648473059543
"a[21]",0.440456849812883,0.089012978456303,0.911512907994914,-1.25938870802316,-0.200750367781292,0.424891683984496,1.07604342953846,2.18338379785225,104.862203605915,1.0067817550359
"a[22]",-0.715742113571824,0.089176229148237,0.911619058985127,-2.4172467995939,-1.36324614473537,-0.739297750355223,-0.0666218715390211,1.04659475485921,104.502958212936,1.00701565997547
"a[23]",-0.401400927781857,0.0891678211326338,0.910900901082339,-2.11359608711683,-1.04085744611622,-0.425601718030412,0.236732744728616,1.32803665658401,104.358049732704,1.00655373616433
"a[24]",-2.14571764714899,0.0878157052189034,0.906100580395655,-3.8764138093367,-2.77873271954745,-2.19025167069742,-1.50120056430267,-0.436670342823088,106.465385377555,1.00672540256617
"a[25]",0.191903994137408,0.0874225924221132,0.905413674774462,-1.49782679047717,-0.471218385505681,0.164342214218849,0.843090104730678,1.91213215474588,107.262209126777,1.00669921779111
"a[26]",-1.48527972171445,0.0886843404349204,0.905659234043473,-3.18462634798971,-2.14182298379937,-1.5008023471279,-0.848161476755349,0.241594508018052,104.288340841993,1.00616188269036
"a[27]",-0.274614300493934,0.0876185945473329,0.903681683751102,-1.98156683192136,-0.936701427881683,-0.299646622577838,0.348979416185369,1.45331649643308,106.374711352526,1.00700610473183
"a[28]",-1.71813355656683,0.0866280390593486,0.92188738197447,-3.48423982938322,-2.37209630090977,-1.73362113435345,-1.06798787763152,0.0520791269214475,113.250146935147,1.00599412205441
"a[29]",-0.272015004045932,0.0877456067171329,0.901719968735745,-1.97581870932242,-0.933042962019719,-0.292035095774344,0.338027544205785,1.45081760007053,105.606977240873,1.00751733390719
"a[30]",-1.68614828217178,0.0867018231170844,0.896937728156303,-3.37212213792523,-2.36361978362051,-1.69277767225203,-1.04694305666321,0.00737856154718097,107.020783264693,1.00718373351187
"a[31]",1.4943637723605,0.0887933860463835,0.910202771658877,-0.230016844637352,0.85117385989484,1.47384602312277,2.14373428747809,3.2264758470251,105.078792115362,1.00653225105059
"a[32]",0.516274651548363,0.0890922877328063,0.911336915719185,-1.18052843743716,-0.140263511970648,0.488269179048908,1.15633541311406,2.25658865937897,104.635174613248,1.00681116546464
"a[33]",-1.95018615390356,0.0866688847483672,0.896289749447845,-3.64198700008629,-2.61576038341156,-1.97927371339739,-1.31797464178484,-0.236919096556701,106.947452212733,1.00655975888911
"a[34]",-1.54621408870437,0.0868672888616288,0.90675469309277,-3.26887259114518,-2.22924369674844,-1.56124546182118,-0.894175748776866,0.13407962564174,108.959998700787,1.00648967643585
"a[35]",-1.68602593056885,0.0863542931740138,0.89693856703356,-3.37091782548494,-2.3531083597318,-1.70011405634275,-1.06792875418592,0.00280124675383594,107.884121481504,1.00724528222726
"a[36]",-1.77457255928014,0.0878358885256083,0.907211793595492,-3.48209181274036,-2.44793830158954,-1.78773145121278,-1.12243288168034,-0.0593347073321494,106.677634496183,1.00645299625942
"a[37]",-2.0978158686656,0.0857388529419154,0.905775756446845,-3.80646715743405,-2.73087167620099,-2.10807768000705,-1.46580534144742,-0.363498722266222,111.605615461283,1.00755448284442
"a[38]",-0.679988271007544,0.0863105585611467,0.896901840643629,-2.38133061431089,-1.33907646684859,-0.686178159556627,-0.0326308557917881,1.01680573431529,107.98463787844,1.00644803421141
"a[39]",-1.00168915079787,0.0878653607136311,0.900837399650388,-2.65880412051905,-1.64458350244525,-1.02264540067483,-0.373526405429648,0.690419212994833,105.113240257638,1.00703777900891
"a[40]",-0.0327153547152757,0.0885320382843533,0.903960593767974,-1.73188659523151,-0.679552560321022,-0.0581801356522538,0.603647730125928,1.69225721545487,104.255282924013,1.00689312388248
"a[41]",1.58628328069403,0.0890155568738708,0.90805405271749,-0.106250067304358,0.945516262697679,1.56135077597717,2.23881203236154,3.31940074935173,104.061858014191,1.00707120876325
"a[42]",-1.48874222881254,0.0884085194246183,0.905815615392704,-3.18063766358539,-2.13880629239005,-1.50931625532287,-0.852788093642912,0.235126530217414,104.976326565941,1.00678152678274
"a[43]",-1.99858380365627,0.0878693282031818,0.904326859885699,-3.68574356709237,-2.66103032674431,-2.00862996031651,-1.35799449038775,-0.285080449218539,105.919579601689,1.00719686935671
"a[44]",-0.954852312915578,0.0878422616213706,0.906429094013388,-2.70588225319308,-1.60469462790512,-0.971753248659425,-0.338792469348578,0.796042356027578,106.478189023972,1.00636493265321
"g0",-0.2993007594713,0.0886587657786081,0.929108548027062,-2.04837542414061,-0.960171763284763,-0.313571951735104,0.373785735290322,1.4820332224997,109.822050715874,1.00711638258565
"G[1]",-1.30830769845372,0.00994139895919596,0.338623296519089,-1.95389617925667,-1.5298969671153,-1.31062634559679,-1.09677828499023,-0.613344441670188,1160.21549380206,0.999468583643764
"G[2]",-1.04189239989976,0.0108950960124887,0.341720244607504,-1.68993938052398,-1.28364108753354,-1.0403134192683,-0.818096809304572,-0.332973584778192,983.737650758059,0.999762906378301
"G[3]",-1.37896246866506,0.0153399307785738,0.515036128638898,-2.38649608013931,-1.73831628762892,-1.36938158963843,-1.0240995664893,-0.374366226373042,1127.27166324641,0.999954050715417
"G[4]",-1.22123958933029,0.0248295402805108,0.879013796339075,-2.92499428724645,-1.81171566966517,-1.2649633499004,-0.634477244969434,0.452780316606812,1253.29707374294,0.999253749428834
"sigmay",0.276724457930196,0.000173973520702399,0.00667567592666639,0.264536579592202,0.272106993130368,0.276462176292015,0.281304699600682,0.289896110147604,1472.39449926678,0.999582472602382
"sigmaa",0.850259386435044,0.00331041962059984,0.096262567743612,0.681398148528306,0.780374887020684,0.843213605048343,0.91140322900515,1.06074294860929,845.568487403053,1.00307297244497
"lp__",719.842578231063,0.231103892125225,5.25598741785613,709.535262702077,716.225868138655,719.962514068585,723.644970392906,729.090210072872,517.242395561332,1.00448973304905
