"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",0.19785429119157,0.00234659705937757,0.0710706348557397,0.0564648240816681,0.150056005305249,0.197999239404461,0.24623015541723,0.335889582415959,917.283001670061,0.999787044522427
"B[2]",0.150987210733572,0.000645746174255341,0.0212827841352544,0.109075935396176,0.136536084841509,0.15089122938894,0.164932415944986,0.194372571460646,1086.25852181927,0.998727770329219
"B[3]",0.00600391815627886,2.4639580384544e-05,0.0010692833900456,0.00390047207591091,0.00529937596536678,0.00599876320656786,0.00672364681271746,0.00813455398154697,1883.29791852296,0.999574573895877
"B[4]",0.0435509326728165,0.00146763712108171,0.0513863006683839,-0.0548802267123082,0.00965394220265948,0.0430805165690084,0.078490910395078,0.142897514497966,1225.90645441453,0.999987478977359
"b0",0.0890861949145984,0.0993918021159711,0.909593105514123,-1.69864469286061,-0.511059156094914,0.0934858297429801,0.721754169961111,1.78306645479715,83.7516148472519,1.00928739520528
"a[1]",0.430268715708413,0.102008592816489,0.961095372160444,-1.33392971557744,-0.237443823061369,0.423958753619948,1.05778178702558,2.39521318774026,88.7686180560443,1.00891643614543
"a[2]",0.66031726209861,0.100590631474919,0.948031460647597,-1.07052832975154,-0.0182144139338798,0.652197623577228,1.28744105062718,2.62497530717352,88.8240211984322,1.00853790861047
"a[3]",-1.62862202128104,0.100872677249454,0.920585707349167,-3.34192428609915,-2.27727543348557,-1.6349710378141,-1.02781836767094,0.299807365541134,83.2877942812776,1.00849271433839
"a[4]",-1.11167495396336,0.0995809804551874,0.934215171789761,-2.82755335049478,-1.77813860015404,-1.09529235507269,-0.504993461496482,0.819294122167982,88.0118269449199,1.0083088800609
"a[5]",-1.73674612153218,0.100766878098964,0.936165432086024,-3.45602835193071,-2.41518106703126,-1.7441397827424,-1.11853231788035,0.202434943932945,86.3116848005114,1.00780305943116
"a[6]",-1.50037428258297,0.100610335904587,0.923697483403595,-3.2319055617154,-2.16231339536155,-1.48329980594593,-0.889203025382976,0.409154606468082,84.2896640440106,1.00897887123011
"a[7]",-2.02622632283826,0.101626122799139,0.928682136658403,-3.76404279445376,-2.69291858877053,-2.03246813780972,-1.4282048348677,-0.124559424636802,83.5071131045117,1.00879016688345
