"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",0.190208637372976,0.00177796123772905,0.0699611380541751,0.0538666031795591,0.144600504227289,0.190637961240659,0.238149519987738,0.329961116572767,1548.35005585322,0.998783076188827
"B[2]",0.158629525343158,0.00073688706936274,0.0199138339312514,0.116066638117539,0.14609846603426,0.15878855502166,0.172383916018152,0.195604757609981,730.311081697321,1.00197021132115
"B[3]",0.00739214334191822,3.03702611548209e-05,0.00113153137659672,0.00527398433702571,0.0066021052597041,0.00737944501350353,0.00820830580939946,0.00959890102664592,1388.14920724799,1.00073440241474
"B[4]",0.0627966029503107,0.00133160042890063,0.0508209817014634,-0.0357746445081173,0.0273974566843977,0.0640405709803532,0.0962113679552171,0.162251488871731,1456.59309639484,1.00032245905693
"b0",-0.0358608892242552,0.096756571833132,1.05391050802519,-1.986991945732,-0.715313345992581,-0.0905351085436247,0.644721621187607,2.10664457691878,118.644203266096,1.04107308486407
"a[1]",0.239421858560337,0.103428580201705,1.11298124686255,-1.98863044667196,-0.476116368347308,0.28912872160089,0.952060027481623,2.35709709188661,115.79626926909,1.04490683239858
"a[2]",0.512786542326448,0.103087350848354,1.09993507410601,-1.6370865423728,-0.201606616009271,0.564685618294109,1.20063686964129,2.55835455802905,113.847459337252,1.04442515346904
"a[3]",-1.57547630899741,0.100286961073666,1.07419637798877,-3.73028807177888,-2.27392005765392,-1.51313056965836,-0.875434637100798,0.433912862355384,114.730378032852,1.04203583146518
"a[4]",-1.13206431034133,0.101956601732999,1.08629569330107,-3.32365936046116,-1.82331096059584,-1.07901238666169,-0.443690215745281,0.894483999325706,113.518177998047,1.04392914814998
"a[5]",-1.66482057223506,0.101131627818913,1.08538610100185,-3.83867556855756,-2.37025750238238,-1.59367721081835,-0.935426398447991,0.333550862174978,115.184625953649,1.04190080448506
"a[6]",-1.45992275241193,0.100672605051093,1.07891791692847,-3.59092120064916,-2.16562702175144,-1.40337913544462,-0.767632893502081,0.567724159653854,114.856134755762,1.04186191024629
"a[7]",-1.98922244611479,0.101295183841643,1.08240410925887,-4.16000485429945,-2.70225136967988,-1.93879445890802,-1.28343016637327,-0.0334631586654527,114.182953054416,1.04249303374639
"a[8]",-1.6552582433736,0.100713826871821,1.07348480589675,-3.80990285775876,-2.35462066830599,-1.58067656160991,-0.960300693583988,0.35143102923171,113.609227514792,1.04414144991841
"a[9]",-1.74038499308879,0.100845320571631,1.07713719075318,-3.89263520038719,-2.43817780790047,-1.66992667753947,-1.04592659981954,0.249333569930326,114.085523793063,1.04347014689436
"a[10]",-1.51616361501191,0.10040479249242,1.07211719857565,-3.69296770207422,-2.22319557436594,-1.45630852064016,-0.837815263121094,0.488713395850893,114.018583145235,1.04357505544575
"a[11]",-1.66071658770259,0.100755715142616,1.07817625768636,-3.81685872736152,-2.34824790598543,-1.59506982418768,-0.97593328810757,0.342780840916347,114.509138782455,1.04297205125279
"a[12]",-1.42626091728557,0.100519825481705,1.07716564867764,-3.58952862139664,-2.12988163202724,-1.38249931359155,-0.719970617291774,0.557166814026497,114.83163233375,1.04211597180682
"a[13]",-1.56441256288911,0.100386126584688,1.0769608025406,-3.74318875277309,-2.27397976826522,-1.49042673055853,-0.859141050414069,0.431197486483765,115.093924562338,1.04230348632884
"a[14]",-1.32107943134828,0.101468391929607,1.084386567084,-3.47929748217646,-2.01112587472987,-1.24688080118867,-0.633905191278568,0.681844116331575,114.210676165246,1.04250635661319
"a[15]",-0.275241745454812,0.100767311566373,1.07793694003092,-2.45686107497637,-0.958739809033862,-0.222913488969231,0.418890460034154,1.74304445687758,114.431967841473,1.0422397671622
"a[16]",-1.69527909459202,0.100281106533786,1.07404428815433,-3.88774542800838,-2.39192202040199,-1.63824308120438,-1.00726208959856,0.318358877947517,114.711284998745,1.04274318281837
"a[17]",-0.198378677841627,0.102566636919478,1.09454788814078,-2.42053698704812,-0.88685794395466,-0.14332526343266,0.498182513205499,1.84299782954828,113.882581599916,1.04384246393379
"a[18]",2.2033672556325,0.102225629352702,1.08918530389317,-0.00404987738196491,1.500015470597,2.25783655821484,2.89593696763735,4.20795826288428,113.523026242282,1.04360285047372
"a[19]",0.0450521757754911,0.103223704558853,1.10532061297017,-2.11051614267957,-0.661544093301936,0.0897104182821828,0.761322193055681,2.1441118290486,114.661509761588,1.04461430202258
"a[20]",-0.797657165123755,0.10121436668186,1.08168063266941,-2.98931566628001,-1.49027345659333,-0.721863393195386,-0.0950528873660762,1.16608342090009,114.212538317412,1.04303151862946
"a[21]",0.819125794818946,0.102395558957404,1.0902316255871,-1.32975364379604,0.123465922235634,0.872943098325976,1.51250244387459,2.86128125514979,113.364038723099,1.04398334405006
"a[22]",-0.546635639979343,0.102336940603394,1.09177317575056,-2.75995031267403,-1.251965658315,-0.491931477650957,0.151614421294186,1.50568276446601,113.815125224237,1.04387228354292
"a[23]",-0.0649972344801824,0.102752546911558,1.09220471165058,-2.25724367351236,-0.761123867549505,-0.00385175789556723,0.636897594794091,1.96003371418726,112.985549067368,1.04375001262471
"a[24]",-1.95724471824462,0.100848615441253,1.07880241810587,-4.14020980401036,-2.64487966242564,-1.87899477394757,-1.28651751740054,0.0804754592978727,114.431065614107,1.04310785285651
"a[25]",0.286228523728455,0.101858785686256,1.08838567533107,-1.88620113052024,-0.431084002439427,0.36072674537819,0.991815274784212,2.29615023534542,114.174375711908,1.04324382040074
"a[26]",-1.20335058361457,0.101705968007252,1.08458709108989,-3.36147786895231,-1.89219651034079,-1.14812515847217,-0.529665771391676,0.809876043920012,113.719773729404,1.043328716017
"a[27]",-0.0706251490725268,0.101584495001979,1.08499761066872,-2.20624905750463,-0.783035944376616,-0.0100671622222761,0.637563929955147,1.95492298537436,114.078213575986,1.04296828475329
"a[28]",-0.0254525689607705,0.100348435809791,1.07112452505597,-2.18395948823757,-0.719577686809378,0.0369047241856306,0.660307672427097,1.94679005706832,113.935408032944,1.04281807862297
"a[29]",-1.61911115378164,0.0995450943611463,1.06992603742446,-3.80153776878486,-2.32345462248829,-1.54543487138084,-0.918724857085661,0.357447783244776,115.522821595747,1.04173703016213
"a[30]",1.83743279590206,0.102526551606498,1.09116963161744,-0.350083355979753,1.16732343744204,1.89123152920134,2.53053630675391,3.86991092838117,113.269201842638,1.04446766207227
"a[31]",0.903981721260179,0.102775804912532,1.09269504213416,-1.28887464493759,0.20849976511826,0.957559580338334,1.58291120718637,2.94360457965578,113.035841463817,1.04422804212834
"a[32]",-1.86108894880916,0.0993091398721889,1.06825309112455,-3.98605714508977,-2.53375534382694,-1.79754406949948,-1.1621177331887,0.131193381382347,115.709728746311,1.04294521361589
"a[33]",-1.76428976104107,0.100849723283199,1.0860170789919,-3.93444154990991,-2.45191674150269,-1.71671447953016,-1.06775610370997,0.258403787709529,115.964187229837,1.04091046928238
"a[34]",-1.60129984055334,0.0999528384702925,1.07215185339789,-3.76674428213223,-2.28889455055425,-1.54514705879614,-0.906772263740861,0.41942721716116,115.059461687224,1.04190170878973
