"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",0.19810925551167,0.00209759489287241,0.0718603358126768,0.0592701943069326,0.147540616410128,0.199504013299025,0.245721248436626,0.337084092796764,1173.64094089445,1.00029555903887
"B[2]",0.158014322583144,0.000618353387205867,0.0180173544903349,0.120806268333126,0.146136108943194,0.157504825804346,0.170452769719379,0.19295858484232,849.001697331548,0.999291198654427
"B[3]",0.00868660481372892,2.71084440640942e-05,0.00113530898900278,0.00648219687209639,0.00792324909566175,0.00865783140590929,0.00946126517060543,0.0108531531461564,1753.95711513202,0.99963055144892
"B[4]",0.0898798902042914,0.00183748323682907,0.0559559194689061,-0.0229487963345411,0.0528468149571453,0.0901540611070272,0.127908848126495,0.200790137510124,927.353470169361,1.00311636598943
"b0",0.036384119342071,0.132479362163174,1.02155786269128,-1.7098580491445,-0.679296857548063,-0.104758885035052,0.651302536052426,2.45931589654979,59.4606270280494,1.04669607234468
"a[1]",-0.0786960425346406,0.133541527015984,1.05696353169699,-2.53672861724415,-0.718231704745337,0.0370403214721469,0.661882711297342,1.69427314493867,62.6451322387689,1.04106677852211
"a[2]",0.218139877798467,0.135508004297293,1.04954801740472,-2.26480533993015,-0.444514608415956,0.372081126273988,0.958427629976758,1.94214973464972,59.9894287959814,1.0449787674478
"a[3]",-1.67999018119047,0.134707333806272,1.03494072666472,-4.16572725919747,-2.30731035279195,-1.53261303909207,-0.932695811960626,0.052653327794893,59.0266959584887,1.0458156071075
"a[4]",-1.30497591625075,0.135427080796177,1.04322401167793,-3.76093696936319,-1.9479649836977,-1.14171393006476,-0.540649415661681,0.394500241476498,59.3395317434527,1.0452378747785
"a[5]",-1.75947628471517,0.136142956215703,1.04216669265662,-4.26454128030239,-2.40158801840736,-1.60748103210898,-1.0052820698161,-0.0352426024796786,58.598166162218,1.04500993048598
"a[6]",-1.56165295291614,0.13413534807749,1.0388162798857,-4.05019001246226,-2.18336384958083,-1.40963369294979,-0.808086147866103,0.134756471478124,59.9778664727448,1.04390894592122
"a[7]",-2.07608840003682,0.133580559560898,1.03954883261444,-4.57758780595329,-2.69754132655656,-1.92023881745073,-1.31782538862846,-0.401295310061264,60.5624273426526,1.04321076246104
"a[8]",-1.77573158900405,0.134382866547108,1.03667904620492,-4.23612055526874,-2.4238577009492,-1.61531920223715,-1.03499430658008,-0.0730875290543546,59.5114920972149,1.04468236743608
