"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",4.73873463954901e-05,3.11112336687606e-05,0.00125035860678478,-0.00239286564675955,-0.000760583350383943,6.88623626044232e-05,0.000869591837711745,0.00250319371006255,1615.2312573389,0.99961133811929
"B[2]",0.168964320071138,0.000589957810863029,0.0202986456411811,0.128093387294066,0.154422274233262,0.169196403350124,0.182283630019089,0.208975251243394,1183.8378281319,1.00079749349838
"B[3]",0.00734334924263589,2.7163446352588e-05,0.00110573149719529,0.00512552935492694,0.00661528466460229,0.00733709862146464,0.00807985605771242,0.00946308439062301,1657.02713939369,0.999200389682868
"B[4]",0.0637641843083484,0.00158378857720535,0.0520553004448912,-0.0402782597145952,0.0275351872049227,0.0633154646102752,0.101046533371731,0.160722808636753,1080.27792631092,0.999816853589612
"b0",-0.0600455548046104,0.0619826944783126,0.866712478012297,-1.84735195259738,-0.577182845728922,-0.0360859092302844,0.523035583464629,1.61967879751038,195.528106596126,1.00157137915561
"a[1]",0.49580344662765,0.0647874482793562,0.910264444998151,-1.2234658135956,-0.0805347655057626,0.478993902731929,1.08582893630408,2.36882732524571,197.40284553802,1.00238280653383
"a[2]",0.7694481080735,0.0643807464874983,0.893284829381696,-0.912273350183061,0.184934938480095,0.7292041436117,1.35007716235265,2.59672036507125,192.516474934039,1.00255856186542
"a[3]",-1.39680088869358,0.0636529965459988,0.876184034137786,-3.04321639680156,-1.96934262334923,-1.43315006049314,-0.822669085254222,0.437535955779368,189.47545711575,1.00241219603661
"a[4]",-0.939724474766166,0.0639649723031806,0.88578027901508,-2.62217241428651,-1.53849621136314,-0.98464599648596,-0.365323449807483,0.863114193341153,191.764221426286,1.00299455916938
"a[5]",-1.4635091226929,0.0639258487686436,0.88454471642262,-3.12180813130022,-2.03210254216793,-1.50014064384403,-0.907363549101626,0.370925843185731,191.463758204354,1.00194114092922
"a[6]",-1.28851491902089,0.0636166538030306,0.880938774485916,-2.98234293279048,-1.85050273509968,-1.31778710059314,-0.720351999350716,0.558850496109558,191.756373724145,1.00230712926647
"a[7]",-1.76907692092372,0.0638085394531307,0.885117343050421,-3.43252322353842,-2.35547269422027,-1.79935894535903,-1.19105048039639,0.0555307387036747,192.417289647781,1.00252192367902
"a[8]",-1.50848954842327,0.063572630200575,0.879807408313348,-3.15756730342703,-2.07877716004432,-1.53720735271007,-0.938405214871253,0.343406459863376,191.529144709263,1.00230375052416
"a[9]",-1.56852912158065,0.0636512105598854,0.881556398521233,-3.22972110607349,-2.13293981272256,-1.60423095902188,-0.993904734437367,0.261771731798295,191.816900206931,1.002560537021
"a[10]",-1.33606282966967,0.0630147835054178,0.872023066640534,-2.9836511296233,-1.91276021740567,-1.37477032486137,-0.768120326244229,0.470319598410226,191.50100121769,1.00209986881973
"a[11]",-1.49558477598355,0.0642031054513863,0.884685650452449,-3.17709162605215,-2.07628037720893,-1.53495420363504,-0.917265161568718,0.343958597419975,189.874173354648,1.00237453219698
"a[12]",-1.30554019229852,0.0639449906797111,0.88440523273378,-3.0133719889519,-1.88691243592995,-1.34389911618195,-0.74351004764174,0.544740927709691,191.288803277384,1.00232588150022
"a[13]",-1.37749610876669,0.0639108650010862,0.881796558499604,-3.05960781605171,-1.95558987341246,-1.41438425542421,-0.814472421016367,0.487763442376654,190.365133595355,1.00248884637409
"a[14]",-1.12204699387924,0.064412442219874,0.885973413456973,-2.7841695319487,-1.7157977306077,-1.1557129115886,-0.553994311674728,0.726768847985701,189.191598889152,1.00279312369409
"a[15]",-0.0866694627891375,0.0639214137112085,0.883493879953435,-1.74276519759316,-0.675119876919401,-0.120264098996031,0.485171008353062,1.76136347953757,191.035618161512,1.0024493051049
"a[16]",-1.50934340342299,0.0636204800200944,0.878672179960968,-3.17089869585489,-2.07205632521727,-1.54591284980933,-0.955496725760498,0.334218411091041,190.747945656778,1.0024722524025
"a[17]",0.0687923709890726,0.0642497698797678,0.890698738720062,-1.60549502378585,-0.506212733138769,0.0133492019166034,0.651312836644188,1.90227731366853,192.184572334258,1.00311098460994
"a[18]",2.36600033295855,0.0642090678534144,0.89010638293184,0.715477284251948,1.79556649788397,2.31914871954533,2.94769729424594,4.15400000779793,192.172438249288,1.0023805207029
"a[19]",0.318478898347232,0.0646556857296576,0.901984825698175,-1.37055788557255,-0.259806546273789,0.299013868426155,0.886637740540286,2.18760163926139,194.618902191097,1.00244078299729
"a[20]",-0.580461756801046,0.0642405244863206,0.887416464887387,-2.28869265565637,-1.17519056482184,-0.613528151127631,-0.00489526483078841,1.25070483305704,190.82567549104,1.00213154400873
"a[21]",1.05312929326646,0.0643764548504459,0.891140586596024,-0.618246978710857,0.469279431901552,0.999830585630947,1.63232894264163,2.88609278989302,191.618896174746,1.0027700821243
"a[22]",-0.295502412192752,0.0642405180313055,0.889714102228887,-1.97130948407497,-0.871925120796406,-0.348441844950576,0.290689472867759,1.5055135350367,191.815138542507,1.00318015383516
"a[23]",0.187553418976355,0.0642710004156213,0.890538768369837,-1.49069396386728,-0.400165229143512,0.136234270943291,0.772510903935571,1.99765688915145,191.988643992165,1.00286227910369
"a[24]",-1.73774271888455,0.0635533671578366,0.88112603059876,-3.39345459934494,-2.32908210614908,-1.77506037187725,-1.16868243807154,0.0505804137272881,192.220159318134,1.00215266964389
"a[25]",0.51034598179626,0.0643077177702386,0.889458052159929,-1.16228051252562,-0.067835423316003,0.483076588621575,1.08240548007181,2.33601182741637,191.304307091719,1.00275215216027
"a[26]",-0.998520501368107,0.0640791484464799,0.885292428356032,-2.65239379473276,-1.57716609544183,-1.04630255948155,-0.421106184562021,0.818154418963916,190.871038400377,1.00273277906695
"a[27]",0.134011607136072,0.0644234967892104,0.88987752320531,-1.53779865526076,-0.44769403673961,0.105699766696034,0.709902184149864,1.96890298086928,190.797151694677,1.00260489330978
"a[28]",0.189461935077279,0.0635022303493223,0.882315861931027,-1.49192562044991,-0.384066883349562,0.144890369837396,0.749101043563004,2.01466988347478,193.050182143523,1.002439890623
"a[29]",-1.52265723670302,0.0633739858828621,0.878007370401978,-3.19271542620845,-2.09746381056235,-1.55767872528171,-0.960819238617138,0.295108249230254,191.943883601784,1.00214217114878
"a[30]",2.08222499168886,0.0643594880716957,0.890567374939812,0.424853955634945,1.49978893051613,2.04309176092695,2.66961967144142,3.89027122594974,191.473378477526,1.00252697753306
"a[31]",1.15740158262843,0.0641048425598482,0.888881774238485,-0.506712263600539,0.586337847686008,1.11742544329816,1.74981414541679,2.97533425213788,192.267698230896,1.00285586819621
"a[32]",-1.72227386802082,0.0634191234466229,0.877486735279562,-3.40729159573928,-2.3073763887729,-1.75555706329324,-1.1576940552251,0.0815594920626462,191.443510782764,1.00249893656236
"a[33]",-1.53884779092205,0.0637675507534238,0.895468337880126,-3.27500578177821,-2.10981256193278,-1.59200505381961,-0.959431020078415,0.298086602573066,197.19731446538,1.00178921502343
"a[34]",-1.4156421401519,0.0631984430789305,0.873902273957942,-3.06876392483459,-1.99876568812487,-1.45744638519663,-0.853447834781232,0.422026869035434,191.211047235418,1.00224247176824
"a[35]",-1.39016685496628,0.0631078282516102,0.893696417284038,-3.17967741694233,-1.97312101080276,-1.39320242118617,-0.843033947096109,0.430198786962478,200.545796725322,1.00297175114966
"a[36]",-1.79126894978917,0.0633638263647643,0.916782860237504,-3.55444564411715,-2.39691675826217,-1.81963187522425,-1.20267245789475,0.0538283683664959,209.339016869736,1.00277570764308
"a[37]",-0.464655875012451,0.0629093424728338,0.874674348891108,-2.08211823452456,-1.03900148854322,-0.506046472396301,0.0995680337889806,1.37879578320842,193.313635717645,1.00223771807207
"a[38]",-0.678437430512849,0.0636225728358469,0.882638042383969,-2.33904399154029,-1.26252291163733,-0.718913814363477,-0.0954444016640512,1.11024348645901,192.461040208926,1.00256769085608
"a[39]",0.493148411177776,0.0640441565964273,0.886535602343304,-1.1845876503195,-0.101756164242699,0.451963505313697,1.07153865140439,2.30511296665004,191.616693008138,1.00262378168744
"a[40]",2.16459614632768,0.0642261339752514,0.890574943823204,0.457211948833714,1.57459794536665,2.12062842049459,2.75198561063088,3.99887564152154,192.272592673974,1.00276384161758
"a[41]",-1.04245421030226,0.0636290203139899,0.884557218009152,-2.71714154158919,-1.62868993580873,-1.08620342045655,-0.485922073855112,0.774934540030105,193.259738854453,1.00261848497616
"a[42]",-1.97062813865455,0.0639109427498463,0.89046320389582,-3.66104435463978,-2.5698353680522,-2.01906363854085,-1.39653485506489,-0.147385810004515,194.125017725378,1.00285566112252
"a[43]",-0.705615118370031,0.0637508589717502,0.886378985235411,-2.39286299910236,-1.28930005317989,-0.743322772324662,-0.127809051387701,1.09176638092077,193.315563827273,1.0026309397996
"g0",0.297429799602801,0.0640579881068862,0.901662718506393,-1.41724507321255,-0.287368528294728,0.275111103478544,0.87531710933335,2.1053529635069,198.126075524375,1.00265933314606
"G[1]",-1.60200618295114,0.00935140151901747,0.346216386875169,-2.30215387444198,-1.83039415409272,-1.60372463329794,-1.36786876856956,-0.932791740794312,1370.69816162983,1.00057359710291
"G[2]",-1.34787836689695,0.0106697393944783,0.381313507759151,-2.11396261234766,-1.5983372775396,-1.33061501486449,-1.10437419081073,-0.614976065790126,1277.19366632326,1.00244689874031
"G[3]",-1.8266607736863,0.014068922150228,0.561454705566178,-2.94877393039211,-2.20866639300064,-1.82473140106993,-1.41659725040542,-0.756477408773698,1592.60398855639,0.999067218842466
"G[4]",-1.52605685368644,0.0218273536926014,0.838218699599756,-3.23376500390284,-2.06433533873231,-1.53024850028057,-0.974362988732223,0.172162683732076,1474.73001210256,0.999631227972133
"sigmay",0.266336494087917,0.00019335520384814,0.00671595464590187,0.253758715251414,0.261867529195764,0.266184417217311,0.270935824062991,0.279693619370825,1206.43458696913,1.00138024010585
"sigmaa",0.880448114468275,0.00287014761470446,0.0963464185492116,0.706779108220607,0.815645867821419,0.874708356440341,0.94560269606997,1.07493755546535,1126.84111264695,1.00088290746493
"lp__",681.330897296426,0.245858944696717,5.46186775875148,669.706476737266,677.909071278626,681.76010065336,685.203014750575,690.962434080553,493.526339021886,1.00546458364094
